POSTCODE,POSITIONAL_QUALITY_INDICATOR,PO_BOX_INDICATOR,TOTAL_NUMBER_OF_DELIVERY_POINTS,DELIVERY_POINTS_CPLC,DOMESTIC_DELIVERY_POINTS,NON_DOMESTIC_DELIVERY_POINTS,PO_BOX_DELIVERY_POINTS,MATCHED_ADDRESS_PREMISES,UNMATCHED_DELIVERY_POINTS,COUNTRY_CODE,NHS_REGIONAL_HA_CODE,NHS_HA_CODE,ADMIN_COUNTY_CODE,ADMIN_DISTRICT_CODE,ADMIN_WARD_CODE,POSTCODE_TYPE,WKT
EX2 4TJ,10,N,45,45,45,0,0,41,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292954 92242)
EX4 1DU,10,N,3,3,1,2,0,2,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003506,S,POINT (291426 92063)
EX4 3BZ,10,N,27,27,27,0,0,11,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291432 92404)
EX4 3RF,10,N,13,13,13,0,0,13,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291577 92795)
EX4 3TL,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291812 93023)
EX4 4BB,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291303 93421)
EX4 4DH,10,N,3,3,1,2,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291408 93075)
EX4 4DT,10,N,20,20,19,1,0,15,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291519 92982)
EX4 4FW,10,N,17,17,17,0,0,2,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291549 92740)
EX4 4HY,10,N,27,27,24,3,0,7,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291637 93046)
EX4 4NX,10,N,6,5,3,3,0,5,1,E92000001,E19000002,E18000010,E10000008,E07000041,E05003493,S,POINT (291185 93820)
EX1 1EG,10,N,1,1,1,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292018 92378)
EX1 1SA,10,N,24,24,24,0,0,24,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292582 92677)
EX1 2ER,10,N,12,12,12,0,0,12,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292932 92906)
EX1 2LA,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292710 92768)
EX1 2LY,10,N,6,6,6,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292820 92724)
EX1 2YG,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX1 9RQ,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX2 4AY,10,N,69,69,68,1,0,25,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292202 92116)
EX2 4HH,10,N,24,24,24,0,0,23,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292453 92158)
EX4 1BR,10,N,8,8,8,0,0,8,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003506,S,POINT (291088 92095)
EX4 1EG,10,N,2,2,2,0,0,2,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003494,S,POINT (291051 92787)
EX4 6BA,10,N,9,8,5,4,0,4,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292428 93294)
EX4 6LF,10,N,24,24,24,0,0,24,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292916 93390)
EX4 6LZ,10,N,29,29,29,0,0,29,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (293017 93536)
EX4 6QX,10,N,40,40,40,0,0,38,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292671 93308)
EX4 6QZ,10,N,10,10,10,0,0,10,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292729 93306)
